Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
1,1,1.18E-38,0,0,0,0,0,0,-35,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0
2,1,1.39E-07,-4.86E-06,1.18E-07,-4.86E-06,-4.11E-06,-2.77E-06,1.18E-07,-36.466,-28.138,-28.991,1.104,-3.27E+08,6.79E+08,-3.27E+08,6.79E+08,-2.09E+08,1.43E+08,0.00E+00,8.85E-03,0,5.74E-03,0,8.85E-03,0,1.61E+09,0,1.61E+09,0,6.64E+08,-4.86E-06,1.18E-07,-3.65E+01,1.10E+00,-3.27E+08,6.79E+08,0.00E+00,8.85E-03,0,1.61E+09,0,3.39E+08
3,1,2.80E-07,-9.80E-06,2.75E-09,-9.80E-06,-8.22E-06,-6.71E-06,2.75E-09,-36.032,-31.272,-30.556,4.05E-02,-2.64E+08,2.53E+08,-2.64E+08,2.53E+08,-9.42E+07,1.52E+08,0.00E+00,1.20E-02,1.26E-08,9.97E-03,0.00E+00,1.20E-02,0,2.68E+09,5306.3,2.68E+09,0,9.40E+08,-9.80E-06,2.75E-09,-3.60E+01,4.05E-02,-2.64E+08,2.53E+08,0.00E+00,1.20E-02,0,2.68E+09,0,6.77E+08
4,1,4.21E-07,-1.47E-05,7.42E-09,-1.47E-05,-1.25E-05,-1.09E-05,7.42E-09,-35.386,-30.206,-29.823,0.17291,-2.57E+08,1.30E+08,-2.57E+08,1.30E+08,-7.10E+07,8.20E+07,0.00E+00,1.26E-02,2.38E-07,1.26E-02,0.00E+00,1.22E-02,0,3.39E+09,1.06E+05,3.39E+09,0,1.05E+09,-1.47E-05,7.42E-09,-3.54E+01,1.73E-01,-2.57E+08,1.30E+08,0.00E+00,1.26E-02,0,3.39E+09,0,7.26E+08
5,1,5.63E-07,-2.01E-05,1.55E-08,-2.01E-05,-1.79E-05,-1.06E-05,1.55E-08,-69.316,179.38,-15.314,192.88,-5.14E+09,7.64E+10,-5.14E+09,7.64E+10,-1.84E+09,2.24E+09,0.00E+00,9.49E-03,6.90E-07,8.95E-03,0.00E+00,9.49E-03,0,2.91E+09,2.85E+05,2.91E+09,0,8.56E+08,-2.01E-05,1.55E-08,-6.93E+01,1.93E+02,-5.14E+09,7.64E+10,0.00E+00,9.49E-03,0,2.91E+09,0,8.19E+08
6,1,7.04E-07,-2.47E-05,9.39E-07,-2.47E-05,-6.02E-07,-1.16E-05,9.39E-07,-52.724,118.18,-54.646,24.433,-2.78E+09,3.76E+09,-2.78E+09,1.84E+09,-1.96E+09,3.76E+09,0.00E+00,1.14E-02,1.18E-06,9.66E-03,0.00E+00,1.14E-02,0,3.81E+09,4.65E+05,3.81E+09,0.00E+00,1.12E+09,-2.47E-05,9.39E-07,-5.46E+01,1.18E+02,-2.78E+09,3.76E+09,0.00E+00,1.14E-02,0,3.81E+09,0,1.10E+09
7,1,8.45E-07,-2.95E-05,1.52E-07,-2.95E-05,-4.72E-06,-1.46E-05,1.52E-07,-149.91,-24.688,-52.066,13.874,-1.95E+09,1.54E+09,-1.95E+09,1.54E+09,-1.09E+09,8.59E+08,0.00E+00,1.73E-02,7.79E-07,1.73E-02,0.00E+00,1.22E-02,0,6.66E+09,2.91E+05,6.66E+09,0.00E+00,1.13E+09,-2.95E-05,1.52E-07,-1.50E+02,1.39E+01,-1.95E+09,1.54E+09,0.00E+00,1.73E-02,0,6.66E+09,0,1.24E+09
8,1,9.86E-07,-3.45E-05,8.78E-08,-3.45E-05,-2.57E-05,-2.10E-05,8.78E-08,-79.942,-28.108,-52.735,7.7267,-1.39E+09,1.83E+10,-1.39E+09,1.83E+10,-8.00E+08,6.10E+08,0.00E+00,1.88E-02,1.97E-07,1.88E-02,0.00E+00,1.25E-02,0,7.52E+09,27757,7.52E+09,0.00E+00,1.19E+09,-3.45E-05,8.78E-08,-7.99E+01,7.73E+00,-1.39E+09,1.83E+10,0.00E+00,1.88E-02,0,7.52E+09,0,1.49E+09
9,1,1.13E-06,-3.94E-05,1.01E-07,-3.94E-05,-2.33E-05,-2.76E-05,1.01E-07,-41.186,46.852,-47.54,12.577,-1.83E+09,3.68E+09,-1.83E+09,3.68E+09,-4.84E+08,5.13E+08,0.00E+00,2.32E-02,2.42E-07,2.32E-02,0.00E+00,1.26E-02,0,9.25E+09,73506,9.25E+09,0.00E+00,1.21E+09,-3.94E-05,1.01E-07,-4.75E+01,4.69E+01,-1.83E+09,3.68E+09,0.00E+00,2.32E-02,0,9.25E+09,0,1.66E+09
10,1,1.27E-06,-4.42E-05,9.21E-08,-4.42E-05,-1.39E-05,-3.35E-05,9.21E-08,-43.996,180.67,-56.63,7.561,-1.71E+09,1.65E+09,-1.71E+09,1.65E+09,-1.36E+09,4.64E+08,0.00E+00,1.30E-02,9.06E-07,1.30E-02,0.00E+00,1.27E-02,0,3.03E+09,2.44E+05,3.03E+09,0.00E+00,1.24E+09,-4.42E-05,9.21E-08,-5.66E+01,1.81E+02,-1.71E+09,1.65E+09,0.00E+00,1.30E-02,0,3.03E+09,0,1.79E+09
