Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[G] Directional Velocity Flexible (Min) [m/s],[H] Directional Velocity Flexible (Max) [m/s],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
1,1,1.18E-38,0,0,0,0,0,0,-5,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0
2,1,1.26E-07,-6.31E-07,0,-6.31E-07,-6.31E-07,0,0,-5,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31E-07,0,-5,0,0,0,0,0,0,0
3,1,2.54E-07,-1.27E-06,0,-1.27E-06,-1.27E-06,0,0,-5,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27E-06,0,-5,0,0,0,0,0,0,0
4,1,3.83E-07,-1.91E-06,3.25E-09,-1.91E-06,-1.88E-06,-5.26E-07,3.25E-09,-5.2846,4.92E-03,-5.2846,-4.6661,-4.5151,4.92E-03,-5.97E+07,8.88E+07,-5.97E+07,8.88E+07,-3.67E+07,2.16E+07,0,3.21E-03,0,1.59E-04,0,3.21E-03,0,1.87E+08,0,3.38E+07,0,1.87E+08,-1.91E-06,3.25E-09,-5.2846,4.92E-03,-5.97E+07,8.88E+07,0,3.21E-03,0,1.87E+08
5,1,5.11E-07,-2.56E-06,3.47E-10,-2.56E-06,-2.48E-06,-1.07E-06,3.47E-10,-5.0039,4.08E-03,-5.0039,-4.617,-4.2494,4.08E-03,-3.57E+07,3.52E+07,-3.57E+07,3.52E+07,-1.22E+07,2.36E+07,0,6.32E-03,6.04E-10,3.33E-04,0,6.32E-03,0,3.67E+08,116.99,7.06E+07,0,3.67E+08,-2.56E-06,3.47E-10,-5.0039,4.08E-03,-3.57E+07,3.52E+07,0,6.32E-03,0,3.67E+08
6,1,6.40E-07,-3.20E-06,6.40E-10,-3.20E-06,-3.09E-06,-1.62E-06,6.40E-10,-5.0378,6.83E-03,-5.0378,-4.6023,-4.1654,6.83E-03,-2.66E+07,3.97E+07,-2.66E+07,3.97E+07,-5.15E+06,9.47E+06,0,9.40E-03,1.21E-08,4.96E-04,0,9.40E-03,0,5.47E+08,5257.9,1.06E+08,0,5.47E+08,-3.20E-06,6.40E-10,-5.0378,6.83E-03,-2.66E+07,3.97E+07,0,9.40E-03,0,5.47E+08
7,1,7.68E-07,-3.84E-06,1.18E-09,-3.84E-06,-3.70E-06,-2.18E-06,1.18E-09,-5.0178,1.02E-02,-5.0178,-4.8141,-4.7128,1.02E-02,-3.20E+07,2.26E+07,-3.20E+07,2.26E+07,-9.83E+06,1.85E+07,0,1.17E-02,6.05E-08,6.23E-04,0,1.17E-02,0,6.72E+08,24911,1.31E+08,0,6.72E+08,-3.84E-06,1.18E-09,-5.0178,1.02E-02,-3.20E+07,2.26E+07,0,1.17E-02,0,6.72E+08
8,1,8.96E-07,-4.48E-06,2.12E-09,-4.48E-06,-4.33E-06,-2.80E-06,2.12E-09,-5.0577,0.22256,-5.0577,-4.9023,-4.8013,0.22256,-1.43E+07,2.11E+07,-1.43E+07,2.11E+07,-8.85E+06,1.03E+07,0,1.19E-02,1.62E-07,6.68E-04,0,1.19E-02,0,7.14E+08,69526,1.41E+08,0,7.14E+08,-4.48E-06,2.12E-09,-5.0577,0.22256,-1.43E+07,2.11E+07,0,1.19E-02,0,7.14E+08
9,1,1.02E-06,-5.12E-06,2.57E-09,-5.12E-06,-4.96E-06,-3.41E-06,2.57E-09,-5.075,0.34701,-5.075,-4.8962,-4.7724,0.34701,-1.95E+07,1.58E+07,-1.95E+07,1.58E+07,-1.14E+07,9.52E+06,0,1.20E-02,1.81E-07,7.12E-04,0,1.20E-02,0,7.43E+08,59515,1.50E+08,0,7.43E+08,-5.12E-06,2.57E-09,-5.075,0.34701,-1.95E+07,1.58E+07,0,1.20E-02,0,7.43E+08
10,1,1.15E-06,-5.76E-06,2.11E-09,-5.76E-06,-5.58E-06,-4.03E-06,2.11E-09,-5.0243,0.65341,-5.0243,-4.6057,-5.0235,0.65341,-9.75E+07,9.27E+07,-9.75E+07,4.95E+07,-5.53E+07,9.27E+07,0,1.21E-02,1.40E-07,7.26E-04,0,1.21E-02,0,7.78E+08,30220,1.64E+08,0,7.78E+08,-5.76E-06,2.11E-09,-5.0243,0.65341,-9.75E+07,9.27E+07,0,1.21E-02,0,7.78E+08
