Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[G] Directional Velocity Flexible (Min) [m/s],[H] Directional Velocity Flexible (Max) [m/s],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa],Force (min),Force (max),,Momentum
1,1,1.18E-38,0,0,0,0,0,0,-15,0,-15,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0.00E+00,0.00E+00,4.52E-13,0.00E+00
2,1,1.26E-07,-1.89E-06,2.27E-08,-1.89E-06,-1.86E-06,-4.99E-07,2.27E-08,-16.901,0.35876,-16.901,-12.639,-14.494,0.35876,-2.10E+08,4.91E+08,-1.23E+08,4.91E+08,-2.10E+08,4.85E+07,0,3.55E-03,0,2.36E-04,0,3.55E-03,0,2.16E+08,0,6.18E+07,0,2.16E+08,-1.89E-06,2.27E-08,-16.901,0.35876,-2.10E+08,4.91E+08,0,3.55E-03,0,2.16E+08,-5.55E-05,2.22E-04,4.52E-04,0.00E+00
3,1,2.54E-07,-3.82E-06,2.54E-10,-3.82E-06,-3.68E-06,-2.16E-06,2.54E-10,-15.33,4.58E-03,-15.33,-14.199,-14.383,4.58E-03,-2.66E+08,1.92E+08,-2.66E+08,1.92E+08,-1.23E+08,1.08E+08,0,1.18E-02,0,6.10E-04,0,1.18E-02,0,6.77E+08,0,1.36E+08,0,6.77E+08,-3.82E-06,2.54E-10,-15.33,4.58E-03,-2.66E+08,1.92E+08,0,1.18E-02,0,6.77E+08,-1.20E-04,8.67E-05,momentum,0.00E+00
4,1,3.83E-07,-5.74E-06,1.06E-09,-5.74E-06,-5.56E-06,-4.04E-06,1.06E-09,-16.654,7.23E-02,-15.417,-12.074,-16.654,7.23E-02,-5.22E+08,5.34E+08,-8.25E+07,1.84E+08,-5.22E+08,5.34E+08,0,1.21E-02,9.95E-09,6.74E-04,0,1.21E-02,0,7.76E+08,4348.7,1.71E+08,0,7.76E+08,-5.74E-06,1.06E-09,-16.654,7.23E-02,-5.22E+08,5.34E+08,0,1.21E-02,0,7.76E+08,-3.73E-05,8.31E-05,6.78E-12,-1.12E-11
5,1,5.11E-07,-7.67E-06,2.29E-09,-7.67E-06,-7.29E-06,-5.94E-06,2.29E-09,-15.42,0.10432,-15.42,-13.408,-15.207,0.10432,-1.19E+08,6.46E+07,-1.19E+08,6.46E+07,-1.07E+08,5.48E+07,0,1.22E-02,7.93E-08,1.37E-03,0,1.22E-02,0,8.53E+08,32086,3.48E+08,0,8.53E+08,-7.67E-06,2.29E-09,-15.42,0.10432,-1.19E+08,6.46E+07,0,1.22E-02,0,8.53E+08,-5.37E-05,2.92E-05,1.36E-11,-2.18E-11
6,1,6.40E-07,-9.59E-06,4.31E-09,-9.59E-06,-9.01E-06,-7.83E-06,4.31E-09,-15.611,2.88E-02,-15.611,-12.899,-13.518,2.88E-02,-6.30E+08,2.19E+08,-2.65E+08,2.19E+08,-6.30E+08,8.28E+07,0,1.23E-02,2.35E-07,2.14E-03,0,1.23E-02,0,9.32E+08,97409,5.53E+08,0,9.32E+08,-9.59E-06,4.31E-09,-15.611,2.88E-02,-6.30E+08,2.19E+08,0,1.23E-02,0,9.32E+08,-1.20E-04,9.89E-05,,-2.56E-11
7,1,7.68E-07,-1.15E-05,5.46E-09,-1.15E-05,-1.08E-05,-9.69E-06,5.46E-09,-17.274,0.14119,-15.299,-13.341,-17.274,0.14119,-1.27E+08,1.47E+08,-1.27E+08,1.18E+08,-1.11E+08,1.47E+08,0,1.24E-02,4.57E-07,2.63E-03,0,1.24E-02,0,1.04E+09,1.75E+05,7.14E+08,0,1.04E+09,-1.15E-05,5.46E-09,-17.274,0.14119,-1.27E+08,1.47E+08,0,1.24E-02,0,1.04E+09,-5.73E-05,5.33E-05,,-3.82E-11
8,1,8.96E-07,-1.34E-05,6.12E-09,-1.34E-05,-1.26E-05,-1.19E-05,6.12E-09,-17.823,0.44598,-15.334,-13.498,-17.823,0.44598,-1.09E+08,1.06E+08,-1.09E+08,1.06E+08,-4.35E+07,7.12E+07,0,1.25E-02,4.40E-07,2.83E-03,0,1.25E-02,0,1.10E+09,1.14E+05,7.89E+08,0,1.10E+09,-1.34E-05,6.12E-09,-17.823,0.44598,-1.09E+08,1.06E+08,0,1.25E-02,0,1.10E+09,-4.92E-05,4.79E-05,,-4.51E-11
9,1,1.02E-06,-1.54E-05,6.95E-09,-1.54E-05,-1.43E-05,-1.40E-05,6.95E-09,-15.3,0.16894,-15.3,-12.929,-14.263,0.16894,-2.62E+08,2.76E+08,-2.62E+08,1.84E+08,-1.33E+08,2.76E+08,0,1.26E-02,6.16E-07,2.74E-03,0,1.26E-02,0,1.20E+09,1.98E+05,8.75E+08,0,1.20E+09,-1.54E-05,6.95E-09,-15.3,0.16894,-2.62E+08,2.76E+08,0,1.26E-02,0,1.20E+09,-1.18E-04,8.31E-05,,-5.10E-11
10,1,1.15E-06,-1.73E-05,8.14E-09,-1.73E-05,-1.61E-05,-1.61E-05,8.14E-09,-16.115,0.23456,-15.31,-13.09,-16.115,0.23456,-1.10E+08,9.04E+07,-1.10E+08,9.04E+07,-7.22E+07,6.72E+07,0,1.27E-02,8.85E-07,3.59E-03,0,1.27E-02,0,1.24E+09,3.11E+05,1.09E+09,0,1.24E+09,-1.73E-05,8.14E-09,-16.115,0.23456,-1.10E+08,9.04E+07,0,1.27E-02,0,1.24E+09,-4.97E-05,4.08E-05,,-6.18E-11
